Load (kN),Torque (Nm),Vibration RMS (mm/s),Temperature (°C),Wear (mm),Lubrication Index,Efficiency (%),Cycles in Use,RUL (cycles)
41.66,167.68,11.412,102.21,1.6819,0.1993,84.43,96617,0
41.05,125.15,3.283,83.27,0.383,0.8445,90.8,17579,68341
22.43,60.04,3.612,65.71,0.0998,0.7469,95.9,8586,86037
70.02,249.28,8.49,109.11,0.7304,0.582,89.08,22320,521
53.25,231.86,3.746,69.86,0.3089,0.8405,94.15,13265,66030
54.03,241.03,6.793,77.75,0.1514,0.7424,94.55,6379,78400
22.99,80.08,7.667,94.81,0.7094,0.3333,92.07,69176,32447
61.23,218.06,13.642,102.17,2.3123,0.3368,83.55,78394,0
47.73,176.67,8.805,91.94,1.2004,0.5459,87.9,50877,163
36.37,138.68,5.161,78.08,0.2911,0.7012,95.24,15877,72815
55.76,193.43,6.712,88.49,0.9331,0.6868,91.19,35257,0
69.19,271.97,11.869,106.7,1.9369,0.4695,83.83,53371,15
80.69,290.59,3.426,87.48,0.0714,0.9952,94.86,2306,84244
74.28,275.54,7.258,96.39,0.6258,0.6994,90.28,14772,27729
61.33,247.6,6.97,84.99,0.9033,0.6002,91.46,28729,0
24.08,92.87,7.167,101.19,1.1479,0.2805,88.63,100000,470
79.3,313.0,10.012,103.7,1.3433,0.4899,88.47,34209,0
46.37,179.88,7.579,84.32,0.6719,0.7657,90.71,28345,35112
65.27,264.56,3.715,87.47,0.2394,0.9111,93.56,6437,75069
45.82,172.74,2.361,79.51,0.2143,0.9254,93.37,9711,78370
63.94,263.55,4.851,78.43,0.1653,0.8627,93.85,4882,80044
49.45,190.38,2.804,73.7,0.2817,0.9087,94.2,10145,74879
61.33,262.37,7.35,103.59,0.8709,0.5079,89.67,35494,518
67.14,261.55,15.756,108.73,2.8041,0.275,80.24,88749,965
40.2,112.71,3.83,63.29,0.01,0.8549,95.17,445,90546
53.14,188.8,4.467,80.82,0.2515,0.9052,92.21,10495,72413
70.14,270.78,1.987,75.86,0.053,1.0,93.43,1404,86447
35.97,125.88,7.548,76.03,0.9638,0.4985,91.35,58173,0
16.65,40.0,5.473,82.91,0.2856,0.4714,92.93,33135,78187
27.72,120.21,7.738,83.83,0.7396,0.5307,90.87,49054,40313
39.99,157.65,8.491,96.28,1.1096,0.2903,87.98,70148,284
37.27,152.7,3.555,76.27,0.0751,0.8676,95.32,4653,86237
64.89,237.17,6.769,84.51,0.4899,0.7591,92.54,17778,37516
81.14,322.14,8.31,98.05,0.6864,0.6653,89.68,22127,2
38.11,136.29,5.286,85.92,0.4287,0.7029,91.85,20333,63984
53.79,219.32,7.699,92.27,1.1013,0.7263,88.79,35685,28
47.7,143.98,7.007,81.46,1.1926,0.4063,89.43,48410,0
44.66,128.07,4.968,74.05,0.163,0.7516,95.22,7510,80068
41.79,120.97,1.953,68.53,0.059,0.9668,95.86,3123,87010
30.46,131.87,5.505,78.91,0.4,0.6139,94.42,26645,64798
57.25,198.56,3.62,75.92,0.2068,1.0,94.41,7819,76742
56.05,175.01,8.706,101.15,1.2333,0.5049,88.26,49116,16
34.52,113.48,4.079,64.16,0.328,0.8646,94.04,17541,73799
21.05,88.29,6.04,69.29,0.3155,0.7017,94.47,32886,74577
18.13,62.55,4.363,74.59,0.1093,0.8233,94.72,12270,86299
18.22,40.0,2.478,52.66,0.0243,0.8833,97.22,3058,88736
50.84,216.79,2.915,83.35,0.2394,0.8536,92.69,9942,74159
32.19,113.15,4.11,73.77,0.0708,0.7602,95.49,4989,86320
41.39,147.11,1.885,53.62,0.1327,1.0,96.38,7421,84028
48.91,200.01,5.909,89.34,0.5819,0.5993,90.93,22013,41489
31.71,77.75,4.114,69.53,0.1735,0.8147,94.54,12274,80571
66.05,286.0,7.995,91.24,0.9481,0.6374,90.08,38223,772
29.45,95.53,5.636,72.93,0.3525,0.6867,94.5,29248,66107
65.59,236.22,8.142,87.58,1.5442,0.7966,87.6,41156,0
62.79,253.46,9.714,103.39,1.459,0.3938,87.35,43742,0
45.92,177.45,3.406,78.24,0.4011,0.7727,93.93,20938,55995
47.24,184.18,1.402,81.79,0.1621,1.0,94.72,8291,80139
55.95,218.91,15.604,104.44,2.7903,0.2954,81.26,100000,0
14.39,65.79,3.474,45.71,0.0218,1.0,98.0,3157,88807
67.99,233.73,5.145,92.97,0.5107,0.8397,91.04,15009,43337
29.78,107.44,2.111,54.82,0.0682,1.0,95.84,4703,88333
22.62,82.25,4.276,61.04,0.243,0.8298,95.08,19807,81460
62.29,223.71,9.943,103.87,1.1479,0.4879,87.23,46044,551
52.92,208.55,6.338,86.27,0.4075,0.667,92.89,18029,49834
44.38,169.63,3.511,70.85,0.2794,0.867,94.38,15944,69769
50.19,164.56,4.691,64.19,0.2942,0.9288,93.38,11285,72675
24.47,108.9,1.03,76.07,0.0269,0.8361,95.67,2236,88645
61.89,232.52,7.624,104.6,1.1121,0.5562,87.73,36069,82
46.36,187.25,8.769,103.9,0.86,0.4235,89.27,38968,0
44.76,167.29,6.958,85.83,0.525,0.6242,91.48,26729,40885
48.56,191.17,10.558,93.06,1.6588,0.3526,87.26,65089,0
51.31,191.88,4.69,82.16,0.0826,0.8403,92.95,4000,84730
39.65,127.84,2.313,56.76,0.1341,1.0,96.38,6271,84309
61.54,210.99,10.135,97.45,1.619,0.4337,86.45,52791,707
18.91,76.64,5.787,74.99,0.3249,0.6135,93.87,30299,77507
22.55,89.32,4.283,71.86,0.2261,0.6309,95.25,20344,80192
28.61,72.56,6.871,87.34,0.5942,0.4268,92.8,41467,44746
84.1,311.28,11.284,97.53,1.58,0.7018,87.31,41944,0
56.95,228.76,5.392,78.76,0.5472,0.7198,92.29,22663,32224
34.89,118.98,6.466,91.1,0.4816,0.4988,91.71,32751,47420
47.73,165.12,3.588,76.97,0.1941,0.8753,95.74,8023,78574
41.67,155.19,5.614,72.58,0.5587,0.547,91.83,34027,29825
25.66,69.69,2.7,65.77,0.1767,0.9368,95.36,14278,83197
37.82,146.03,4.578,71.66,0.4558,0.8021,93.84,26939,57107
78.47,289.36,7.481,93.32,0.8296,0.6588,89.33,25711,315
41.99,176.89,6.158,73.79,0.4591,0.5894,92.79,26418,46520
77.96,282.22,11.329,98.52,1.3563,0.6483,86.37,34001,0
16.68,103.34,3.65,59.02,0.0154,0.9172,95.77,2240,89269
64.29,265.78,3.208,82.65,0.184,1.0,93.82,6666,76735
53.89,184.79,3.497,73.14,0.3033,0.9526,93.97,9925,72719
50.22,196.99,14.209,113.45,2.3015,0.1717,82.28,94737,306
21.95,40.0,4.816,79.54,0.2458,0.5451,94.04,30011,74697
49.65,179.81,5.419,75.29,0.1386,1.0,94.1,5355,82657
68.68,232.88,7.719,95.65,1.1594,0.4786,88.23,32058,0
63.82,234.88,10.768,90.86,1.62,0.6592,86.67,51499,0
34.86,119.39,7.864,92.51,0.8376,0.3211,90.57,64488,0
45.05,163.23,3.092,77.24,0.17,0.843,94.13,6528,81402
56.23,206.12,14.167,107.83,2.2935,0.2905,83.74,82544,12
48.7,186.66,3.328,73.41,0.1943,0.9374,94.01,7382,79371
65.27,232.15,3.587,92.69,0.151,0.8107,93.42,4675,79386
68.97,262.16,7.643,94.65,0.8403,0.7276,90.21,27897,0
38.99,162.51,2.555,64.42,0.018,0.9683,96.49,1043,89285
61.38,253.46,7.762,100.47,1.0321,0.4727,89.8,44494,756
44.32,162.27,6.012,75.29,0.1061,0.7515,94.13,4314,84603
36.58,117.94,3.05,64.62,0.0506,0.9795,95.62,2533,88534
46.88,181.74,10.755,98.93,1.1613,0.5336,87.81,47856,0
23.14,80.42,9.634,94.76,1.039,0.0819,89.31,92516,337
49.0,188.39,8.148,95.99,0.7625,0.5419,90.57,40079,0
19.9,83.27,6.587,77.88,0.3731,0.4825,93.51,47930,66340
19.23,97.0,7.784,90.54,0.6557,0.248,91.78,77359,40587
45.78,164.87,5.42,80.22,0.2681,0.8144,94.46,14957,69176
41.14,144.63,3.609,65.2,0.2235,0.9609,95.28,10753,79119
26.95,125.24,4.849,77.44,0.5345,0.6427,93.38,34399,62318
66.0,237.95,7.201,90.01,0.8072,0.6527,89.65,27678,0
22.15,91.69,5.329,73.93,0.3532,0.6,92.95,32347,72203
48.63,151.41,8.304,82.51,0.7062,0.6551,90.82,34964,9469
30.21,117.14,5.466,86.26,0.5249,0.6476,91.76,35148,55789
45.53,156.16,4.597,79.82,0.1288,0.909,94.35,7029,82384
44.11,157.32,3.583,70.82,0.044,1.0,95.81,2432,87414
70.7,305.87,7.183,90.97,0.6541,0.7446,91.32,19431,16554
21.91,86.01,6.14,87.24,0.737,0.3182,90.52,78823,27349
59.06,198.32,8.741,98.48,0.8989,0.3925,88.95,37129,329
30.44,118.63,3.434,73.92,0.0806,0.8907,94.39,5031,86957
57.75,221.67,2.248,58.73,0.0586,1.0,95.61,1927,87426
52.67,187.1,6.514,94.71,0.6423,0.6079,91.55,24495,26334
69.07,269.21,7.19,101.75,0.6893,0.6202,89.57,24510,0
37.31,189.11,4.98,79.75,0.4721,0.5744,93.16,31415,47209
50.25,165.32,5.224,76.73,0.154,0.8639,94.61,7771,78877
8.0,40.0,2.76,59.89,0.0742,0.869,95.95,16695,89238
13.99,40.0,4.787,65.52,0.1783,0.6156,93.96,33621,82640
53.48,154.81,3.975,75.52,0.1223,0.8655,94.1,4835,82721
31.23,111.36,3.427,59.06,0.0992,1.0,94.98,5807,86178
40.15,151.55,3.613,76.07,0.2887,0.7668,94.43,16176,70107
44.77,146.07,2.529,64.89,0.164,0.9724,95.27,8073,82065
66.61,249.84,10.169,90.02,1.756,0.5087,87.17,70545,0
54.61,236.49,3.047,72.11,0.1269,1.0,94.77,5897,80342
30.5,121.62,3.443,77.32,0.2135,0.7762,94.54,14290,79468
42.15,178.02,7.142,86.22,0.9027,0.5873,90.09,47624,433
44.16,164.3,4.544,69.6,0.023,0.9806,94.33,1097,89508
60.83,258.28,5.869,78.38,0.9293,0.8196,91.33,30883,57
51.96,201.55,3.58,66.58,0.0077,1.0,95.98,396,90311
40.1,149.15,12.204,101.12,1.5139,0.1882,87.74,73735,0
24.35,90.76,3.098,62.92,0.0351,0.9036,94.96,3395,89080
51.41,192.5,3.108,77.88,0.122,1.0,93.6,4612,83527
53.49,193.24,5.996,90.65,0.6942,0.7127,90.63,26266,23921
18.69,61.32,4.628,87.13,0.5209,0.3994,91.67,52612,62832
21.01,102.76,3.416,61.62,0.1414,0.7814,95.19,16054,84522
37.62,150.17,5.129,76.82,0.2557,0.7991,94.36,17534,71815
46.59,181.34,9.106,82.97,1.0454,0.6083,89.06,50675,336
53.51,198.67,6.464,81.34,0.6026,0.7175,92.95,19954,41745
38.52,142.75,3.912,76.93,0.3687,0.8966,93.56,17288,71100
32.51,137.21,3.931,65.47,0.1316,0.864,95.17,9734,82673
44.75,103.03,5.765,71.15,0.3176,0.8561,94.26,12602,74258
46.55,206.29,5.613,77.41,0.2063,0.8201,93.9,11126,75161
49.52,183.57,5.971,68.97,0.5954,0.701,92.29,23556,39442
62.43,202.39,8.979,99.02,1.1166,0.5046,88.7,42647,574
59.92,238.97,8.951,101.22,1.1718,0.5533,87.86,35840,0
51.86,221.95,7.025,86.34,0.7861,0.6593,91.78,31787,7342
50.32,202.52,10.766,94.91,1.9838,0.4325,85.17,73873,0
47.93,166.51,10.222,89.23,1.5523,0.49,87.33,56511,0
45.18,149.72,10.498,105.55,1.6221,0.3812,85.54,72445,0
32.44,118.34,3.557,72.31,0.0206,0.89,94.84,1203,89639
44.04,188.09,5.921,80.98,0.3501,0.8098,93.21,14016,69595
47.31,153.92,7.338,84.14,0.4704,0.6816,93.27,24523,45225
20.42,73.96,4.655,74.18,0.1807,0.7248,93.87,17350,82816
58.46,247.97,7.112,94.34,0.7118,0.6245,90.7,31847,307
79.96,326.31,17.641,128.8,3.2558,0.1991,76.45,100000,603
60.5,233.24,3.786,82.31,0.1249,1.0,93.37,4668,81458
58.28,211.79,5.225,84.3,0.3258,0.7938,94.06,11347,64737
46.89,179.72,12.962,86.14,2.2064,0.2615,85.08,85688,0
38.9,136.67,4.636,68.37,0.3274,0.7618,95.58,15585,72033
50.47,178.19,5.04,75.17,0.3105,0.8774,94.29,15112,65312
43.45,125.79,8.523,99.2,1.0946,0.4275,89.62,57388,0
68.05,222.95,2.859,69.11,0.0428,1.0,94.32,1193,87356
55.62,215.13,4.291,70.88,0.1076,0.9991,95.78,3564,84505
67.67,255.98,4.887,92.22,0.1249,0.918,92.79,3793,82952
52.13,187.16,13.641,103.01,2.3662,0.2313,83.09,100000,0
39.38,149.66,2.305,66.17,0.044,0.8897,96.66,2622,87904
19.95,65.96,4.73,73.19,0.1594,0.781,94.56,14419,85087
41.77,154.97,8.263,87.78,1.0562,0.5109,89.78,62093,0
41.18,172.67,4.502,77.29,0.2106,0.7275,93.88,13577,73104
49.67,179.56,2.985,75.05,0.0172,0.8801,95.56,675,89477
35.73,145.39,3.923,77.5,0.2119,0.7393,93.88,15223,75093
20.37,77.78,5.116,65.56,0.0186,0.8958,96.09,2451,89496
33.02,136.67,6.425,88.25,0.4411,0.6079,91.37,25036,63503
56.08,222.08,5.569,83.79,0.4812,0.8566,92.7,17650,51864
48.87,217.05,4.618,76.63,0.3054,0.7953,92.92,12338,70065
16.75,68.72,5.518,74.42,0.3495,0.4582,94.03,52972,69865
21.01,56.57,7.475,83.44,0.6367,0.3529,91.87,67533,43496
49.02,178.23,4.338,88.45,0.4841,0.6891,91.68,19149,52577
18.62,62.3,2.937,70.12,0.1722,0.7404,95.37,16615,83707
40.76,147.65,9.5,88.71,1.118,0.4778,89.02,69861,0
46.41,161.45,8.387,85.92,1.2232,0.5099,89.02,59023,104
56.18,252.05,10.865,96.97,1.4091,0.502,86.37,52505,0
69.86,294.14,8.114,99.38,0.8063,0.6427,89.57,28956,0
83.65,320.73,8.071,104.87,0.7307,0.6861,90.06,21250,0
66.52,256.62,14.615,114.46,3.2343,0.264,77.34,93759,460
12.3,58.71,3.638,68.1,0.0607,0.7293,95.91,9678,88277
26.9,90.05,4.03,56.46,0.1575,0.92,97.18,10230,84413
16.42,67.82,1.134,53.81,0.0243,1.0,98.0,2995,88864
44.22,173.14,5.63,86.6,0.2909,0.7899,92.69,14455,69975
69.66,257.78,6.861,91.18,0.806,0.7563,90.08,20457,8325
67.76,263.22,4.681,79.85,0.1184,1.0,93.43,3073,83867
15.61,69.09,4.18,68.54,0.1018,0.7246,94.21,11404,86681
72.81,274.7,5.559,80.44,0.5098,0.9123,92.09,15370,39609
21.93,83.51,11.333,77.14,1.0689,0.2619,90.74,100000,331
32.98,133.85,11.976,99.16,1.9116,0.188,86.87,100000,467
36.88,124.12,4.941,69.98,0.0511,0.9167,94.27,3442,88198
69.45,278.79,6.197,89.36,0.5556,0.7978,90.63,14852,39600
26.3,131.22,6.595,69.78,0.5629,0.5936,93.18,43127,55131
60.66,249.06,6.82,101.44,0.793,0.6084,89.63,26673,812
56.39,177.19,7.81,85.53,1.092,0.6174,89.96,34229,0
38.97,125.55,7.352,94.28,0.7995,0.4416,90.31,54622,0
20.04,104.65,3.538,57.08,0.0984,0.9339,96.39,12327,86137
66.72,221.9,8.355,97.77,1.1456,0.5568,87.54,33741,582
57.79,225.7,6.417,97.88,0.7964,0.6076,89.97,28586,93
62.62,245.95,2.293,76.52,0.052,1.0,94.61,1904,86615
38.46,166.64,5.684,87.1,0.6241,0.5634,90.98,30600,40981
15.48,40.0,1.496,71.93,0.0098,0.866,94.34,1465,90191
43.89,176.3,4.201,84.71,0.1275,0.8406,93.59,7309,81447
47.53,182.93,4.328,81.16,0.0821,0.9413,94.35,3273,85787
41.58,177.57,3.445,73.7,0.1177,0.8055,93.64,7383,81806
54.69,186.09,14.874,107.56,2.6203,0.2342,81.62,84319,0
53.01,190.98,9.846,88.92,1.5031,0.5004,89.65,55190,0
24.41,118.44,3.231,63.38,0.1154,0.8575,96.06,9702,85492
19.21,66.81,6.407,90.96,0.738,0.1452,90.08,85899,29433
46.1,181.32,2.93,79.98,0.063,0.8633,93.91,3622,86362
78.23,312.11,5.217,86.14,0.2318,0.9858,93.29,5575,73405
40.31,153.83,6.203,74.58,0.2579,0.7578,93.73,16976,70438
49.46,190.77,2.728,76.58,0.0318,1.0,94.12,1577,88370
57.76,217.47,6.541,89.06,0.391,0.6023,92.92,14817,51641
53.07,211.28,5.74,98.58,0.5232,0.7528,91.04,23627,38298
55.03,186.89,8.106,91.94,1.0509,0.6099,89.06,42228,0
30.5,75.77,6.107,84.57,0.717,0.5367,90.19,40546,41667
13.56,67.06,8.527,91.8,0.7475,0.3539,90.29,100000,52842
47.36,204.08,5.455,88.25,0.4382,0.7052,92.45,21080,51649
28.28,106.36,7.128,87.97,0.7282,0.5844,90.62,49886,40759
27.57,83.26,6.731,80.35,0.4717,0.3957,92.31,35971,56565
58.02,216.67,8.557,96.54,1.2132,0.5329,88.1,41006,82
13.54,56.85,1.672,68.46,0.0525,0.8549,95.26,9721,87864
61.16,211.43,7.963,94.68,0.5659,0.7345,90.89,23391,22948
35.07,154.78,7.491,78.84,0.7831,0.4746,91.97,46251,17421
28.95,153.83,3.526,68.05,0.309,0.8036,94.52,22063,74308
65.72,268.86,11.272,99.95,1.3654,0.4974,87.8,54079,0
21.61,76.61,3.573,60.45,0.1712,0.86,96.68,19638,81758
52.36,193.49,5.142,82.96,0.1955,0.8392,93.62,8123,76580
23.04,63.18,1.336,64.75,0.0407,1.0,97.31,3310,88270
64.03,245.75,4.932,92.23,0.2902,0.9722,93.25,8345,72348
24.39,79.4,2.513,81.43,0.2539,0.58,93.0,26947,73882
68.79,264.14,5.552,81.37,0.469,0.8074,92.92,17274,35761
27.63,109.17,6.989,72.72,0.5313,0.6068,93.58,37778,56977
39.04,180.83,2.981,79.75,0.2894,0.8508,94.62,13246,76294
26.92,105.51,6.347,82.2,0.6012,0.6531,92.18,41195,56084
55.17,217.67,3.282,85.53,0.3385,0.9879,92.79,10838,71338
46.34,191.33,11.652,98.1,2.2443,0.3311,83.45,100000,0
25.92,113.55,3.412,72.2,0.1328,0.8584,95.04,9938,84986
8.0,40.0,3.066,78.5,0.1728,0.3242,94.77,55824,84015
49.46,191.37,5.354,73.54,0.3765,0.7155,93.55,15730,61116
22.83,87.26,1.756,55.03,0.0865,1.0,96.4,7867,86946
77.84,287.12,19.337,116.76,3.793,0.2709,75.77,88674,0
64.59,230.46,3.952,77.6,0.3921,0.8846,93.35,13917,54940
50.19,205.46,6.476,87.38,0.8554,0.568,90.41,35623,909
54.71,211.7,3.911,82.73,0.1594,1.0,93.46,5081,82443
33.13,94.4,10.839,97.01,1.4596,0.29,86.87,93220,667
62.28,225.3,6.395,96.42,0.1267,0.7105,93.42,4179,80722
20.28,100.52,6.356,84.8,0.5038,0.279,92.23,58317,53966
54.25,197.06,2.385,68.25,0.0097,1.0,94.66,416,89165
13.56,67.21,3.483,74.11,0.0791,0.8055,94.61,10670,87499
48.16,187.4,4.044,82.01,0.3243,0.8961,93.04,18096,63101
71.06,261.21,10.093,98.54,1.3468,0.4911,88.01,35314,133
37.16,176.99,5.638,85.4,0.4655,0.6317,91.88,33516,45704
26.72,90.39,4.352,60.55,0.0989,0.8301,95.14,9084,83883
36.84,148.84,3.191,70.76,0.0307,0.8963,95.74,2178,87525
27.81,44.86,2.372,69.69,0.0448,0.9997,94.89,2862,88937
65.19,245.05,3.658,77.18,0.0,1.0,94.07,0,89124
45.43,168.88,7.01,93.0,0.8498,0.5673,91.05,40493,0
45.05,184.34,5.206,65.39,0.0967,0.833,95.88,4082,83930
55.72,188.4,9.621,93.33,1.1927,0.6024,88.68,47176,696
56.62,233.36,3.565,78.07,0.2118,0.9011,94.21,9081,74520
39.62,151.95,2.867,77.25,0.0819,0.9106,95.04,5406,84261
40.11,135.47,5.612,82.4,0.3045,0.7145,94.06,17456,68375
57.18,192.47,8.82,105.44,1.2136,0.5766,87.25,37483,480
46.69,170.2,9.751,93.86,1.0182,0.3601,89.65,52533,403
65.79,276.18,5.557,77.98,0.5765,0.78,92.27,20617,24853
44.68,178.88,5.462,89.6,0.2159,0.7872,91.16,9588,77166
71.56,262.59,5.938,97.82,0.5123,0.679,90.28,15458,31371
30.76,119.33,9.0,89.01,1.2884,0.3713,88.66,86751,526
41.55,157.01,7.5,90.79,0.9446,0.5695,90.93,45279,0
37.94,131.98,5.317,86.64,0.2509,0.6398,92.3,13489,75003
8.0,40.0,4.674,59.02,0.1449,0.5599,95.5,33344,87333
60.29,230.61,6.208,92.05,0.4701,0.7135,92.2,15525,48507
57.08,207.06,8.985,90.8,1.3004,0.4783,88.94,42287,28
20.73,40.0,3.792,66.9,0.0826,0.8065,96.07,9420,87058
44.01,190.46,4.817,81.55,0.3565,0.7438,92.57,15009,68574
45.87,186.11,3.727,82.47,0.4714,0.8164,92.09,27069,47686
48.88,171.7,5.082,85.06,0.1142,0.6473,94.34,4692,82180
32.02,133.74,6.478,73.93,0.6775,0.7634,93.7,36563,50987
43.06,194.42,6.566,92.82,0.7013,0.6084,90.77,30748,29811
49.54,181.88,12.861,95.13,2.6131,0.3253,83.63,100000,0
38.06,153.77,6.279,69.03,0.6011,0.8516,92.97,35847,44245
53.6,198.56,6.459,85.88,0.7274,0.5999,92.28,27387,14099
63.56,240.01,5.345,92.25,0.8636,0.7557,89.4,24794,1029
62.98,241.07,7.875,104.61,0.8795,0.6893,89.4,29498,0
16.56,43.06,9.062,90.19,0.76,0.1682,90.61,89081,40509
42.91,163.17,4.074,84.59,0.0585,0.928,94.21,3263,87062
47.18,183.58,11.313,95.43,1.4908,0.3753,86.95,61311,0
45.28,167.11,4.175,80.89,0.2186,0.8202,94.08,10874,75464
36.16,118.49,1.12,73.92,0.0023,0.9731,95.6,128,89787
13.86,42.33,1.944,59.71,0.0441,0.9709,95.29,7495,89069
56.65,229.44,4.7,76.12,0.558,0.7588,92.14,20882,37814
47.49,179.47,5.682,76.63,0.4524,0.6145,93.69,22581,46338
60.11,236.12,5.05,78.0,0.6623,0.8063,91.06,22190,27381
25.64,110.06,5.638,76.06,0.2877,0.5759,93.86,25009,73953
38.19,155.86,3.123,61.65,0.015,1.0,96.06,916,89909
50.77,188.35,12.261,98.29,2.1705,0.1185,83.82,100000,468
45.45,165.27,5.349,82.35,0.3917,0.8267,92.95,15562,66708
43.06,156.04,4.006,72.54,0.094,0.8407,94.63,4867,84679
49.28,167.92,4.728,78.95,0.1849,0.8732,92.76,7062,78966
65.27,252.1,8.706,91.36,1.0476,0.5455,89.07,35811,1263
31.27,135.27,5.69,65.37,0.1366,0.7827,95.51,11349,81101
12.31,40.0,4.54,70.45,0.1548,0.6601,95.28,23163,85795
42.67,181.37,11.585,90.19,1.8388,0.2718,86.37,85580,41
47.59,224.04,7.493,83.49,0.4204,0.761,92.2,17531,60048
33.58,131.91,4.09,68.85,0.3502,0.8513,93.45,23009,70640
31.12,113.2,3.221,58.35,0.136,0.787,95.87,10400,82428
40.01,151.05,6.207,85.41,0.6113,0.596,91.87,36463,29424
75.39,269.03,8.408,96.59,1.0769,0.5339,88.87,35709,182
44.76,160.33,2.722,76.48,0.2424,0.9236,94.44,14011,72543
65.79,234.04,4.51,91.95,0.4587,0.9854,91.52,13250,56758
51.07,177.98,6.807,82.45,0.798,0.5899,90.74,31458,5520
38.67,144.79,6.211,78.53,0.6555,0.6895,92.2,31437,42003
52.76,173.99,9.667,101.37,1.4992,0.3536,86.45,52673,0
46.97,181.58,12.312,100.79,1.9667,0.3097,84.03,97998,680
36.61,134.05,3.88,73.96,0.2075,0.8552,93.02,9874,81204
37.84,133.38,3.673,66.6,0.2473,0.922,95.49,11645,78863
40.72,177.3,2.864,67.06,0.2522,0.9134,94.18,12604,76852
44.95,156.96,5.069,78.4,0.4042,0.86,93.35,23880,55194
48.95,162.19,4.258,80.84,0.1766,1.0,93.82,9502,79245
49.19,206.41,5.965,86.52,0.6169,0.6762,91.43,25344,34274
49.85,180.33,5.413,85.22,0.575,0.8948,92.47,21222,50288
33.52,138.68,2.957,81.14,0.095,0.8894,93.44,6014,85519
60.74,193.4,10.751,97.46,1.4036,0.4437,87.08,41987,288
22.81,53.79,6.137,82.26,0.5248,0.5723,92.68,40736,63080
39.25,161.31,5.517,66.26,0.0399,0.9951,95.32,2719,87343
