Load (kN),Torque (Nm),Vibration RMS (mm/s),Temperature (°C),Wear (mm),Lubrication Index,Efficiency (%),Cycles in Use,RUL (cycles)
74.19,303.37,10.505,97.37,1.6765,0.3018,88.39,84153,0
59.65,239.13,8.865,87.75,1.3564,0.4092,89.59,67565,84
22.0,95.49,3.779,66.29,0.2295,0.7075,96.54,27332,91278
47.64,163.66,9.304,90.12,1.2765,0.4184,89.44,76483,0
14.93,75.17,2.652,50.55,0.0139,0.975,97.7,2780,99586
29.06,131.36,1.705,52.63,0.0638,0.997,98.32,6544,97234
30.15,143.93,3.051,59.7,0.0116,0.9598,97.03,1388,99975
38.46,178.44,3.84,66.13,0.1541,0.7553,97.16,11806,91574
45.27,199.22,3.71,72.52,0.2471,0.8003,95.03,14764,85983
52.96,216.33,2.197,72.08,0.143,0.9653,96.62,9497,91746
52.06,219.83,6.527,75.12,1.0793,0.6181,92.94,52937,12
49.57,195.16,3.607,65.71,0.2134,0.9238,96.58,13237,87166
55.98,239.0,2.78,66.8,0.1481,1.0,95.22,9894,89307
27.5,99.71,4.084,75.23,0.1969,0.688,95.07,23472,89730
51.32,218.27,2.32,62.83,0.067,1.0,96.33,4557,96209
75.82,309.64,7.646,96.15,1.2335,0.6215,90.77,48615,0
47.02,181.11,1.201,59.28,0.0403,0.9681,97.46,2324,98336
58.9,268.4,12.634,95.53,1.7643,0.105,88.71,100000,196
57.23,256.23,6.866,85.54,0.8734,0.5525,92.49,44385,207
65.52,276.33,3.316,81.32,0.1639,0.9166,94.29,6646,89737
55.17,196.85,2.838,70.4,0.0033,0.8977,96.31,166,100416
65.22,256.33,7.362,89.62,1.1204,0.522,91.65,50697,0
59.13,246.81,7.481,90.05,0.7881,0.6243,92.4,36813,18764
61.83,269.15,5.865,80.02,0.8719,0.6361,91.6,39170,5274
57.96,253.22,6.877,95.67,0.8076,0.497,91.49,44256,0
31.88,138.52,1.695,62.41,0.0239,0.953,97.87,2308,99375
28.93,122.1,4.624,63.84,0.1209,0.7712,96.19,13317,93987
43.64,178.99,1.532,60.65,0.0608,0.952,97.1,3695,98527
77.93,314.74,9.017,97.67,1.5701,0.3698,88.77,59656,418
46.91,230.13,3.707,71.1,0.4748,0.6626,94.77,29289,62838
55.57,254.05,4.145,77.62,0.2507,0.8822,95.36,12055,84825
14.59,72.93,2.969,55.64,0.0114,0.9318,97.71,1970,100243
53.49,201.96,3.617,76.47,0.1892,0.8574,94.98,11175,87968
51.55,192.84,4.283,56.33,0.2363,0.8647,95.81,11799,87541
10.0,50.0,2.698,69.18,0.1167,0.6806,96.31,39236,95223
55.24,221.72,5.625,76.39,0.4498,0.6858,94.51,30447,52077
20.28,62.4,5.612,75.37,0.391,0.4175,95.12,65468,73795
36.94,157.25,3.253,66.96,0.2629,0.8109,96.09,19172,86764
67.9,247.51,3.01,64.99,0.1022,0.9939,96.48,3821,96341
52.83,220.08,6.37,85.05,0.6747,0.5563,93.41,37474,31789
41.93,186.29,6.419,77.15,0.5859,0.5193,94.28,42912,45374
40.39,179.16,5.648,74.92,0.3987,0.7417,93.87,24717,77167
42.48,142.29,5.939,75.03,0.7151,0.6584,93.93,44217,44758
52.9,185.11,5.315,79.01,0.3744,0.7542,94.73,20424,73128
28.39,114.98,2.452,63.29,0.2199,0.82,95.99,22190,89823
70.24,282.38,4.555,80.34,0.3551,0.8891,94.81,16734,70101
29.34,98.9,1.382,61.89,0.0076,1.0,97.79,772,98730
18.91,50.0,1.247,58.4,0.0257,0.8655,96.54,3425,97912
67.84,267.29,3.145,77.19,0.018,1.0,95.56,958,99389
42.14,174.93,5.891,67.48,0.4845,0.7659,95.62,30352,69537
51.27,210.6,2.956,70.34,0.1664,0.9067,95.76,11322,88814
61.78,235.42,3.631,84.61,0.4263,0.7464,93.44,21313,61948
37.05,135.55,7.212,79.35,0.7631,0.4017,93.37,71438,10192
52.47,213.55,2.472,77.8,0.1379,0.9131,96.27,8602,91349
61.67,242.42,3.416,71.71,0.3709,0.8583,95.07,15848,76126
79.58,340.68,8.607,100.78,1.0989,0.5216,90.25,42262,600
40.8,182.55,3.197,62.64,0.0915,0.8338,96.99,7794,94950
41.67,184.07,2.785,64.62,0.0299,1.0,96.37,2403,98554
60.14,230.71,3.667,65.03,0.1959,0.9181,97.25,10264,86933
53.75,232.44,3.795,69.04,0.0872,0.9328,96.94,5274,93676
47.53,206.82,8.633,90.68,1.098,0.37,92.16,79649,717
78.67,360.13,10.616,98.05,1.5432,0.5973,88.48,49527,0
19.72,122.3,4.133,68.61,0.1894,0.6892,95.48,30105,92377
24.41,127.32,5.407,78.81,0.4662,0.3579,95.55,61546,63473
19.92,74.53,5.464,62.13,0.3721,0.6171,95.09,48839,83473
71.63,285.41,3.274,81.91,0.1627,1.0,94.26,6195,91341
59.27,244.9,9.233,80.52,1.234,0.4537,91.01,66924,0
25.33,94.94,2.056,56.53,0.1853,0.8439,96.79,23253,90566
47.79,242.58,6.808,86.88,0.8741,0.4066,92.88,49420,4503
49.5,227.02,9.21,91.45,1.0012,0.4689,92.06,67927,293
10.23,55.44,2.57,54.11,0.0387,0.7359,96.84,11482,98644
53.39,240.3,3.675,70.52,0.0512,0.9363,96.45,3498,97321
28.8,148.4,4.097,56.67,0.0629,0.9424,96.9,7761,97009
62.72,275.79,4.711,78.12,0.3862,0.726,94.08,16712,70226
29.36,119.47,8.048,78.31,0.4473,0.4856,95.47,51115,64092
53.94,241.41,6.567,90.8,0.9169,0.423,91.61,59140,25
73.3,322.54,2.452,70.48,0.006,1.0,95.94,209,100007
67.54,261.33,5.117,78.7,0.5196,0.7399,93.41,21446,53662
59.13,296.36,4.447,75.83,0.3675,0.7917,94.03,16208,75334
48.54,191.58,3.946,68.81,0.1033,0.9553,97.04,7535,94358
23.0,127.44,2.412,51.76,0.0285,1.0,98.68,3830,99409
42.1,173.59,4.673,62.06,0.1854,0.7769,97.51,12357,89443
45.93,216.09,9.345,76.14,1.4918,0.5027,90.53,85894,0
44.64,188.56,3.711,58.68,0.1768,0.9661,96.75,11712,90907
22.4,65.2,2.877,57.98,0.1948,0.8964,96.87,21944,93640
57.82,264.23,6.741,86.55,0.691,0.6145,93.24,36423,25682
28.74,150.19,4.399,59.47,0.1089,0.8972,97.1,13559,95362
77.83,326.74,14.771,95.09,3.0215,0.2979,83.19,100000,17
52.66,238.35,9.626,84.31,1.8439,0.4122,89.55,98460,0
67.63,270.17,4.763,77.21,0.2303,0.801,95.87,8702,85397
67.25,283.73,3.094,70.01,0.434,0.9261,95.31,20630,65508
87.4,389.27,5.136,84.54,0.3713,0.9141,94.75,10738,73456
53.27,231.4,4.936,80.88,0.1567,0.8871,94.39,10057,88855
42.98,190.75,3.357,63.3,0.0179,0.9369,97.32,1128,98880
43.33,202.51,4.868,74.53,0.3491,0.7685,95.18,28215,72933
76.93,356.85,5.11,80.02,0.4572,0.7934,94.61,20956,50134
26.24,132.82,1.904,58.71,0.0111,1.0,97.04,1586,100032
34.19,150.25,3.764,68.96,0.1337,0.9734,96.59,9799,94968
54.27,227.62,7.486,86.48,1.5203,0.4386,89.98,71666,432
47.25,202.29,2.781,62.37,0.125,1.0,95.84,8216,93271
67.42,257.48,4.097,77.31,0.1049,0.8125,95.52,4696,93964
25.9,114.15,4.952,60.34,0.2043,0.8643,96.53,20168,93100
48.79,182.04,10.691,97.54,1.8597,0.1976,87.98,100000,0
46.63,188.38,2.377,76.43,0.1519,0.9034,95.2,8314,93742
30.7,143.94,6.865,61.48,0.3857,0.478,95.81,33455,75841
65.82,268.56,6.461,90.38,0.8638,0.5837,91.52,43017,0
48.35,231.24,2.042,62.07,0.1571,0.9715,97.11,8140,92558
47.59,199.06,6.55,76.37,0.6979,0.551,94.24,39082,38041
35.16,171.74,2.116,55.62,0.162,0.9644,96.59,13756,94023
43.34,176.51,6.9,70.5,0.5005,0.5563,94.5,30015,62466
31.61,130.62,4.313,73.17,0.2617,0.6308,95.73,30115,80878
65.55,298.37,4.116,85.11,0.4489,0.6078,94.45,23022,49916
68.59,284.54,4.747,77.6,0.062,0.9492,95.98,2839,97388
80.24,344.51,9.866,99.89,1.5514,0.3882,89.19,54109,0
57.81,234.32,4.087,71.72,0.2376,0.7855,96.43,11604,83844
43.89,138.48,2.589,57.42,0.0726,1.0,97.14,6193,95367
41.56,162.61,3.495,63.49,0.0205,0.8011,97.49,1249,98837
58.83,276.34,4.66,81.04,0.4305,0.6207,93.64,26813,52054
53.62,231.9,6.483,87.72,0.5776,0.4948,92.85,33956,37440
46.86,214.7,4.545,66.7,0.0069,1.0,96.26,502,99564
45.28,208.78,5.616,64.19,0.2906,0.8192,95.95,21529,78713
71.08,314.12,3.132,78.24,0.1475,0.7913,94.58,7705,86421
42.23,209.26,6.018,81.74,0.5199,0.7158,93.3,31084,67652
74.24,305.44,3.496,75.16,0.1582,0.9926,96.66,5748,91005
53.28,253.47,5.408,76.01,0.5768,0.6653,94.22,35226,42575
43.38,195.6,3.116,77.95,0.1958,0.6731,94.93,14669,85889
35.87,159.54,8.696,86.33,1.0254,0.2647,91.57,82810,0
47.22,157.2,2.575,56.44,0.0633,0.9351,97.52,4438,97034
59.06,256.09,4.131,73.49,0.2677,0.7781,95.43,12514,81622
43.21,199.85,3.575,65.48,0.0617,0.8241,97.02,3613,97754
65.31,278.94,10.242,88.93,1.9951,0.4544,88.03,77586,14
42.31,202.73,5.991,77.35,1.0193,0.4584,91.97,62950,0
47.75,226.48,2.062,72.47,0.1258,0.9825,95.4,8950,93217
26.84,107.15,3.278,62.17,0.3389,0.7878,96.5,32363,84327
60.07,254.48,8.862,90.69,1.1354,0.4666,91.4,50985,0
45.19,184.49,5.175,79.13,0.396,0.5582,94.75,24304,69404
78.42,320.93,5.772,82.16,0.5858,0.7851,93.23,22628,39755
62.69,265.27,4.827,80.9,0.1893,0.8002,95.0,8306,88039
51.52,221.08,2.154,69.06,0.0404,0.9664,96.3,2932,97131
72.05,260.81,9.825,90.19,1.528,0.4651,89.55,68254,476
57.29,239.84,9.361,95.05,1.5755,0.4015,89.15,69203,0
68.15,294.32,4.187,81.47,0.6749,0.751,92.55,30080,29808
34.48,147.4,3.026,70.14,0.1492,0.8993,95.39,12421,93341
58.3,243.45,3.788,82.6,0.2381,0.7914,95.65,12887,82284
59.05,227.79,5.852,79.79,0.6138,0.5169,93.06,38834,16636
22.19,67.09,5.438,86.39,0.4716,0.4035,92.77,68223,66108
77.12,313.26,11.128,94.9,1.9657,0.4663,87.88,65434,0
29.11,86.03,5.598,79.24,0.4043,0.5613,94.16,45407,70461
26.62,110.94,4.007,73.19,0.2472,0.6737,96.39,30819,85585
10.0,50.0,0.521,55.25,0.0084,1.0,97.49,2637,100136
58.53,249.86,4.171,70.94,0.1131,0.8547,95.61,5289,93787
20.42,74.57,5.729,73.68,0.5369,0.4458,94.55,68647,68807
40.7,132.02,5.195,81.37,0.4282,0.6732,94.18,27975,72452
65.08,253.72,3.189,67.38,0.0071,1.0,96.45,277,100106
53.46,228.25,2.355,70.04,0.0525,1.0,96.56,3210,97965
38.77,178.44,5.362,65.42,0.3382,0.6581,95.92,32675,71830
21.37,84.28,0.957,61.04,0.0013,1.0,97.03,152,99649
48.06,206.9,2.127,65.22,0.0766,0.9231,96.34,5259,95989
65.39,270.99,6.935,81.82,0.6163,0.6811,93.71,23871,46520
62.62,258.66,5.353,72.78,0.726,0.8072,93.81,35319,29142
82.16,328.86,5.435,90.14,0.7221,0.6691,92.01,31663,184
38.24,159.97,3.702,63.58,0.1007,0.8249,96.99,7618,95942
26.29,98.17,4.228,75.26,0.3901,0.6146,95.01,37363,80036
55.58,260.98,2.398,68.55,0.1556,0.8179,95.84,8125,89389
53.81,212.48,4.015,66.59,0.2523,0.9102,96.76,11809,87809
49.91,213.16,6.219,78.36,0.5492,0.6022,93.09,41171,37309
36.56,132.25,5.382,70.13,0.3897,0.7332,95.29,31463,74214
10.0,50.0,5.062,72.35,0.1702,0.4803,94.8,56759,92858
31.88,113.7,3.855,64.66,0.2751,0.6495,96.23,32154,79453
60.03,240.72,6.612,71.55,0.5488,0.7315,95.51,25201,53660
55.11,250.97,4.733,82.0,0.0617,0.797,96.14,2951,96978
67.37,282.07,3.144,76.04,0.3211,0.9199,96.38,13752,77679
56.21,252.67,4.668,72.65,0.1452,0.8021,96.02,9245,89363
63.25,261.43,2.017,73.16,0.1613,1.0,95.77,8391,89209
63.77,282.51,10.424,100.54,1.7108,0.2957,87.49,100000,0
50.37,227.91,5.136,71.8,0.225,0.7724,95.11,14982,84011
50.49,226.33,6.909,78.26,1.2555,0.508,92.11,66782,617
10.0,61.02,2.884,62.83,0.119,0.6903,97.59,29920,97379
38.18,170.12,4.577,87.67,0.5462,0.5056,92.55,47515,48720
38.96,155.07,4.259,66.15,0.2406,0.7901,96.46,20953,83339
48.04,173.45,4.224,68.74,0.472,0.8484,95.32,25805,70695
33.25,124.44,4.74,65.61,0.2557,0.7389,96.0,20349,86721
66.88,288.71,3.678,74.48,0.1609,0.943,96.21,6516,90267
34.13,165.61,4.539,80.01,0.4094,0.6789,94.44,38453,71644
69.84,303.13,4.794,78.35,0.2464,0.8766,94.84,9887,83587
32.7,131.1,3.586,58.36,0.0092,0.9741,97.77,738,99222
39.13,155.83,4.396,84.44,0.4213,0.5756,93.8,31109,69210
37.76,159.3,3.125,65.64,0.0849,1.0,96.36,5848,97009
41.07,184.62,8.484,85.25,0.9643,0.2751,91.7,84632,0
71.22,299.82,11.723,86.17,2.2557,0.3622,87.51,92327,0
44.11,175.27,6.67,88.31,0.9802,0.4372,91.97,73905,0
44.57,170.21,4.787,65.51,0.2336,0.819,95.41,13869,87947
36.65,139.6,2.021,64.36,0.006,1.0,96.79,467,100873
45.32,176.46,8.649,78.4,1.2371,0.4596,91.55,79066,0
53.9,225.08,3.825,64.46,0.2446,0.9847,96.09,16768,82738
46.13,177.55,9.248,92.04,1.6144,0.2408,89.39,100000,0
47.29,187.44,9.46,89.74,1.7226,0.1856,89.53,99412,451
68.29,300.53,9.304,96.35,1.4578,0.514,88.86,57522,0
54.93,242.43,3.213,70.09,0.2259,0.8667,96.04,10463,88216
29.28,156.92,3.061,64.9,0.1257,0.8016,97.65,14589,93670
48.47,210.37,6.745,83.79,1.0853,0.4292,91.81,57142,585
40.31,141.16,3.644,65.94,0.1545,0.8734,96.88,11434,92081
59.38,218.58,1.207,80.68,0.092,0.8033,95.33,5572,93189
51.85,220.32,3.178,72.37,0.3459,0.7911,94.8,24412,69487
70.35,294.49,11.007,95.23,2.0833,0.3518,87.65,82539,0
36.68,149.05,5.236,76.42,0.5071,0.5731,95.26,35725,65862
46.54,171.84,3.434,59.16,0.4628,0.8241,95.61,25323,72436
30.85,110.32,1.284,55.77,0.0254,1.0,98.12,3067,98413
49.25,228.35,6.352,78.61,0.4353,0.6226,94.02,28636,60253
22.34,114.24,6.359,95.59,0.7856,0.1838,90.9,100000,32215
55.79,239.6,1.696,57.18,0.0789,0.9335,97.54,4528,94782
49.0,218.28,5.702,62.76,0.374,0.7715,95.62,21915,73772
52.79,198.79,9.211,89.93,1.3012,0.4409,90.79,62958,0
64.19,275.91,5.29,82.61,0.8106,0.6145,92.61,40501,0
54.05,214.0,5.447,85.4,0.5688,0.5798,93.04,35822,35813
27.02,138.37,5.385,67.03,0.3695,0.5643,96.02,36369,80403
39.99,177.65,2.961,68.89,0.1791,0.9265,95.94,13365,91019
48.56,172.98,2.171,70.57,0.1698,0.9912,95.78,10427,92310
44.09,160.76,6.722,72.21,0.8003,0.4537,92.53,49721,20871
46.29,192.79,6.02,77.06,0.6404,0.4411,94.76,49840,19837
79.19,314.41,9.545,95.45,1.4951,0.4791,89.22,60539,0
51.81,239.91,10.889,90.92,1.5196,0.3335,90.19,73338,0
56.88,201.81,4.105,71.59,0.354,0.8873,96.23,21483,71875
13.84,56.73,3.878,56.46,0.0916,0.6843,97.24,20886,96743
63.43,234.69,7.259,86.67,1.1337,0.5438,91.34,48028,0
101.34,418.05,7.026,105.7,0.9437,0.5669,89.71,31492,660
74.22,286.92,6.997,82.13,0.7795,0.5883,92.77,36317,417
42.08,175.32,5.662,88.85,0.6171,0.5387,93.09,47659,38510
91.06,364.15,11.814,107.54,1.8488,0.2643,87.26,66220,57
50.49,198.22,4.059,69.35,0.2108,0.7998,95.72,12374,86607
55.52,254.45,4.942,67.33,0.2192,0.8235,96.67,14128,82443
45.19,180.82,3.112,72.82,0.0496,0.9103,96.22,2961,98454
44.72,133.05,4.747,78.28,0.39,0.7276,94.22,25902,71589
10.0,50.0,2.022,45.53,0.0041,0.973,99.0,1098,100332
64.17,297.81,3.956,76.35,0.4809,0.9885,93.53,18798,71677
44.65,194.74,3.405,65.79,0.3319,0.7745,95.27,23469,76005
46.61,214.25,3.76,67.2,0.1574,0.8171,95.07,10129,90541
54.92,218.45,6.58,74.14,0.5744,0.6324,94.24,26809,53832
42.54,191.39,2.127,63.2,0.0119,1.0,96.97,929,99606
54.75,220.78,2.944,71.52,0.0243,0.8945,96.63,1142,99404
71.66,307.34,8.9,91.02,1.4285,0.5795,90.01,51881,1033
57.29,264.05,3.684,72.46,0.2493,0.967,95.2,13398,84108
47.24,176.9,2.324,47.23,0.0541,1.0,98.29,4077,97514
47.78,164.72,4.479,67.93,0.3642,0.8343,95.63,22160,76147
53.61,216.75,5.699,78.81,0.8861,0.61,93.08,44089,11541
35.02,153.67,1.958,64.56,0.0841,0.9532,96.6,7294,95256
53.74,258.66,4.236,79.88,0.437,0.5949,94.07,29257,52798
62.32,263.51,4.128,67.95,0.0641,1.0,97.41,2676,96533
51.58,229.15,2.507,74.35,0.0254,1.0,96.28,1592,97816
42.37,164.21,4.22,73.13,0.2655,0.6711,96.31,22737,77338
44.83,175.13,3.53,74.8,0.3052,0.7626,95.05,23337,76460
61.74,266.24,5.368,86.06,0.5384,0.755,93.04,30436,43102
30.2,158.58,4.715,70.48,0.4025,0.6712,94.74,38849,75815
35.3,148.76,8.341,82.75,1.37,0.4218,90.42,100000,432
21.08,93.83,3.392,58.46,0.1457,0.8252,96.45,21789,95272
50.61,198.93,4.064,65.9,0.2025,0.9,96.25,11701,88278
65.51,263.87,8.412,91.12,0.9459,0.5553,92.49,47570,446
73.97,333.08,3.482,80.57,0.2773,0.9028,94.13,9476,82363
77.88,297.97,5.118,73.45,0.5387,0.8837,94.64,17340,59416
37.57,142.55,1.3,51.81,0.0354,1.0,97.99,2451,98908
54.5,224.12,2.232,72.35,0.0119,0.974,97.05,770,98949
42.76,181.76,8.185,88.29,1.53,0.3029,89.99,98621,0
79.66,332.76,9.057,87.93,1.2655,0.5033,90.91,54233,682
73.46,324.35,6.506,90.3,0.8067,0.6108,91.78,35719,0
53.03,281.83,3.678,81.19,0.2624,0.6889,94.1,15776,79122
38.85,142.04,2.232,57.67,0.0739,0.8923,97.84,5709,96698
10.0,50.0,1.985,48.92,0.0202,0.9854,98.38,5104,99159
24.2,88.18,2.88,59.27,0.0745,0.9188,97.01,8640,97715
16.66,88.54,4.188,69.28,0.1074,0.8181,96.66,23904,95286
23.97,137.49,3.324,65.41,0.3056,0.6738,95.76,37615,83758
83.82,350.92,6.954,85.66,0.9759,0.8187,92.57,32382,226
26.69,132.17,2.232,59.35,0.0785,0.839,96.6,9852,96340
30.9,110.45,8.664,73.04,1.1199,0.3002,91.87,92943,0
33.43,165.75,6.416,78.72,0.3622,0.4238,93.46,40171,66025
96.77,440.95,6.932,87.91,0.6755,0.6911,92.89,24247,444
48.88,202.66,3.771,68.3,0.4932,0.7242,94.94,28381,62858
67.9,298.58,4.341,65.52,0.3965,0.8679,95.52,16321,71135
53.16,198.32,4.159,56.36,0.1746,0.8851,97.39,8540,90934
14.28,50.0,3.595,59.26,0.0598,0.7826,97.69,13200,97704
77.59,336.75,7.701,76.06,1.0939,0.7434,92.39,42545,171
57.22,287.79,1.431,75.68,0.0079,0.9418,96.29,435,100142
47.81,164.41,2.053,73.73,0.0707,0.7986,96.28,3701,97083
81.68,346.94,3.669,81.14,0.0457,0.8422,95.93,1413,98243
43.76,209.07,3.137,62.0,0.0178,1.0,96.98,1247,98910
47.4,235.68,7.44,85.71,0.971,0.5391,91.85,58026,0
43.79,179.91,4.292,68.53,0.4655,0.6777,95.7,36487,58646
69.37,317.28,5.193,74.18,0.4672,0.7392,94.93,19284,58571
64.65,286.33,2.777,71.18,0.063,0.7933,95.78,3089,95328
55.02,266.6,4.745,84.08,0.358,0.6678,93.07,20296,69941
31.07,126.53,4.109,66.14,0.1923,0.6193,96.84,19244,87763
43.34,183.97,2.655,65.44,0.07,0.9274,96.72,5706,95857
31.06,118.08,3.878,61.89,0.161,0.9083,96.6,17067,92426
70.89,291.84,4.021,77.76,0.3368,0.7424,94.3,15250,69429
21.65,84.95,3.187,61.8,0.2094,0.7061,96.08,28702,90828
78.7,314.24,6.779,76.59,0.6982,0.7536,93.05,30243,12350
73.18,343.28,4.692,64.08,0.0283,0.8621,97.6,1391,97729
33.47,141.83,3.423,63.1,0.1646,0.8843,95.94,14082,92861
42.5,168.91,3.958,74.26,0.343,0.7107,94.7,29494,70917
37.18,148.13,3.729,70.21,0.2608,0.7297,95.77,20983,84288
57.74,211.59,6.535,81.74,0.9811,0.6022,92.27,58240,0
75.42,329.01,5.591,82.6,0.942,0.7261,91.68,32249,0
71.34,282.36,2.925,71.56,0.1495,0.9964,95.6,5336,91399
42.21,165.01,2.691,54.56,0.0248,0.9588,96.91,2195,98784
72.59,327.61,5.834,77.96,0.8007,0.7734,92.44,30852,18405
71.09,287.86,4.186,79.04,0.0178,0.8365,94.98,806,99439
46.6,204.92,4.406,78.9,0.3441,0.6928,94.6,26440,69426
49.83,198.26,9.498,85.3,1.5517,0.3168,89.19,84518,0
77.75,316.37,5.048,90.83,0.7895,0.6825,92.01,25703,18288
69.05,277.42,3.645,84.41,0.3162,0.7754,93.44,14739,72235
72.05,298.94,6.003,83.4,0.6883,0.747,93.15,30925,21029
96.54,377.68,5.387,103.61,0.5054,0.7495,92.17,18389,34404
59.85,266.62,6.214,81.75,0.505,0.7385,93.82,23664,58154
55.86,290.8,8.749,78.81,1.7976,0.557,89.93,85144,779
74.44,324.57,7.054,75.93,0.2975,0.8358,93.85,14638,70838
85.78,341.83,14.953,108.05,2.9527,0.2602,83.59,97473,0
38.99,177.29,6.932,81.21,1.0034,0.3592,92.08,70727,304
46.37,163.86,3.319,69.23,0.1036,0.9054,96.85,6537,95811
31.67,117.63,3.573,51.07,0.0208,0.9552,98.16,2157,99507
56.17,227.15,1.925,63.39,0.0529,1.0,97.37,3187,97443
66.01,298.13,2.319,72.05,0.01,1.0,95.94,552,99777
32.92,152.23,2.556,63.29,0.0285,0.9291,96.43,2976,98694
70.41,267.16,5.236,79.23,0.9627,0.8332,92.83,34466,8656
41.84,192.01,3.65,60.34,0.032,0.9232,97.32,2215,99606
40.37,158.46,3.959,77.65,0.1341,0.7461,94.67,11525,91287
70.34,307.59,8.948,90.88,1.3989,0.4582,90.91,55906,0
38.75,147.56,2.669,62.9,0.0099,0.852,97.18,706,99370
24.74,101.78,3.453,72.19,0.3986,0.5597,95.15,50536,74133
63.39,249.72,3.994,74.68,0.2131,0.8796,94.91,9933,85437
47.63,197.99,4.527,63.73,0.057,0.9835,97.66,3773,97179
71.57,276.84,5.275,83.45,0.772,0.5993,92.19,35795,289
64.99,255.91,6.338,81.78,0.6145,0.7053,93.45,29742,36008
18.53,65.11,4.52,62.01,0.4466,0.5818,96.13,62982,79398
73.68,290.05,6.948,79.47,0.9963,0.6698,92.31,39849,498
84.2,346.04,8.601,92.32,1.2856,0.6212,90.14,48810,227
68.6,289.82,3.94,71.91,0.2359,0.9336,95.26,9940,84434
69.33,317.72,2.947,67.17,0.121,1.0,96.32,5860,92069
45.54,168.89,4.18,81.19,0.5824,0.6086,92.75,41663,43682
41.42,153.21,5.069,83.74,0.6056,0.5443,93.33,49326,38369
