Worm_RPM,Input_Torque,Output_Torque,Motor_Current,Oil_Temp,Ambient_Temp,Axial_Vib,Radial_Vib,Cu_PPM,Fe_PPM,Efficiency_Calc,Friction_Coeff,Backlash,Failure_Label,Fault_Type,RUL_Cycles
2985.1,66.02,2032.3,24.22,115.57,31.28,4.83,1.567,46.76,9.99,0.7695,0.0479,0.1229,Major Fault,Thermal Breakdown,15017
1436.5,72.93,2326.72,24.09,55.65,12.79,4.762,2.502,32.56,10.45,0.7975,0.0406,0.1504,Minor Fault,General Degredation,90068
914.9,64.31,2182.5,20.67,43.36,26.52,4.137,1.895,30.16,6.19,0.8485,0.0226,0.1082,No Fault,Healthy,479816
3101.7,72.68,2412.09,23.28,100.91,25.79,4.3,1.697,25.8,7.55,0.8297,0.0312,0.1073,Major Fault,Thermal Breakdown,46574
2808.5,67.61,2168.45,23.15,96.59,26.76,4.374,2.037,79.93,10.79,0.8018,0.0392,0.1316,Minor Fault,Thermal Breakdown,32075
2868.3,69.86,2197.34,24.06,101.48,20.06,4.316,1.896,117.95,9.53,0.7863,0.0447,0.1327,Major Fault,Thermal Breakdown,22350
2982.4,66.63,2060.54,23.71,113.32,30.52,4.091,2.271,52.4,36.6,0.7731,0.0449,0.1575,Major Fault,Thermal Breakdown,17940
1099.9,44.9,1418.01,17.25,42.23,23.54,3.735,1.294,40.34,13.19,0.7896,0.0423,0.139,Minor Fault,General Degredation,144347
1867.9,42.44,1340.21,16.69,47.98,16.32,4.083,1.296,76.37,37.99,0.7895,0.0403,0.1354,Minor Fault,General Degredation,123259
1212.8,54.7,1766.15,19.65,47.52,24.16,3.558,1.921,48.67,8.37,0.8072,0.0378,0.1341,Minor Fault,General Degredation,142826
3230.4,83.27,2694.5,25.92,118.74,21.96,5.175,2.162,42.13,8.06,0.8089,0.0337,0.1239,Major Fault,Thermal Breakdown,28557
2582.9,57.43,1695.65,22.83,93.45,22.14,4.999,1.859,64.9,26.7,0.7382,0.0566,0.1712,Minor Fault,General Degredation,16388
1793.4,64.64,1982.29,23.86,84.27,30.86,4.175,1.876,46.44,14.7,0.7666,0.0503,0.1382,Minor Fault,General Degredation,25501
1071.6,30.49,944.13,15.03,45.98,28.7,5.209,0.905,109.34,13.24,0.7741,0.0458,0.1237,Minor Fault,General Degredation,103899
1739.7,62.91,2109.04,19.31,71.09,35.82,4.125,1.443,23.45,8.12,0.8382,0.0287,0.1117,No Fault,Healthy,110499
1778.0,61.29,2063.26,19.91,66.58,34.8,3.804,2.175,39.28,11.21,0.8416,0.0282,0.092,No Fault,Healthy,130600
2869.9,19.9,644.5,11.14,40.24,19.97,3.662,1.063,58.81,16.63,0.8097,0.0397,0.1336,Minor Fault,General Degredation,180784
2621.4,64.36,2106.64,21.33,87.91,27.81,4.292,1.658,51.99,22.57,0.8183,0.0349,0.1163,Minor Fault,General Degredation,48953
3295.5,35.24,1179.57,12.98,65.64,26.25,3.314,1.55,40.69,6.59,0.8369,0.0286,0.1111,No Fault,Healthy,130738
2175.0,49.12,1570.54,17.87,62.25,23.4,3.683,1.714,38.92,12.83,0.7993,0.041,0.1322,Minor Fault,General Degredation,70648
1222.9,74.92,2610.08,21.65,53.82,30.32,3.995,1.548,111.69,10.47,0.871,0.0212,0.0915,No Fault,Healthy,353982
2825.8,62.36,1981.81,21.04,87.36,21.05,3.876,1.94,44.97,12.48,0.7945,0.0391,0.1215,Minor Fault,General Degredation,39509
2954.1,53.27,1649.29,20.0,82.23,15.2,4.554,1.34,50.82,16.19,0.774,0.0451,0.151,Minor Fault,General Degredation,33573
2415.4,51.99,1630.88,20.3,72.6,21.95,4.256,2.105,73.98,20.56,0.7842,0.0448,0.1556,Minor Fault,General Degredation,43616
2981.6,53.73,1877.48,16.49,58.98,18.6,4.224,1.886,32.32,18.0,0.8736,0.0219,0.0907,No Fault,Healthy,276250
2233.2,62.41,2152.72,18.51,60.22,25.79,2.831,1.648,17.8,13.62,0.8623,0.0215,0.0957,No Fault,Healthy,274796
2311.4,41.99,1369.26,15.42,65.54,34.66,4.454,1.322,39.85,7.62,0.8152,0.0379,0.1282,Minor Fault,General Degredation,74705
2054.4,76.87,2557.58,23.8,72.57,22.69,3.949,2.559,36.8,8.69,0.8318,0.0337,0.1258,No Fault,Healthy,76994
968.6,42.79,1460.23,14.06,39.19,25.18,2.628,1.338,63.26,8.66,0.8532,0.0278,0.1016,No Fault,Healthy,388347
1191.3,34.09,1170.7,11.02,38.24,28.05,2.396,1.176,33.81,9.41,0.8584,0.02,0.0925,No Fault,Healthy,787697
984.9,74.87,2521.29,23.59,49.53,26.91,4.822,2.88,32.93,12.57,0.8419,0.0312,0.1299,No Fault,Healthy,193019
2618.3,53.45,1739.71,19.49,76.08,24.2,4.875,1.738,135.24,12.92,0.8138,0.039,0.1371,Minor Fault,General Degredation,52462
1748.8,61.06,1985.82,20.32,63.48,30.16,4.085,2.095,37.1,8.4,0.8131,0.0376,0.1293,Minor Fault,General Degredation,80931
2273.1,69.82,2344.95,20.95,76.04,22.23,3.964,1.856,87.26,7.93,0.8396,0.028,0.0978,No Fault,Healthy,101784
3350.4,49.21,1641.86,16.44,81.18,31.48,3.211,1.523,32.46,11.26,0.8341,0.03,0.1258,No Fault,Healthy,77593
1573.1,62.06,2020.14,21.37,58.45,24.34,4.299,1.432,49.49,19.14,0.8138,0.0366,0.1316,Minor Fault,General Degredation,100915
2008.0,69.72,2325.34,21.84,69.3,28.57,4.085,1.778,28.71,9.98,0.8338,0.0317,0.1242,No Fault,Healthy,95538
2940.0,84.65,2641.78,27.62,123.93,22.23,4.953,2.204,45.5,16.47,0.7802,0.0432,0.1407,Major Fault,Thermal Breakdown,15977
1517.8,52.33,1614.51,20.06,57.64,25.25,4.419,1.909,40.7,15.5,0.7712,0.0456,0.1462,Minor Fault,General Degredation,66576
1107.8,53.06,1689.32,19.74,34.14,15.11,4.632,1.89,44.61,11.18,0.796,0.0445,0.13,Minor Fault,General Degredation,199666
1682.3,68.45,2308.41,21.17,58.82,25.12,3.899,1.941,64.19,10.04,0.8431,0.0291,0.104,No Fault,Healthy,157220
1335.3,63.13,1989.57,22.05,62.37,24.88,4.169,1.931,42.31,16.4,0.7879,0.0433,0.1424,Minor Fault,General Degredation,63078
3410.2,57.94,1825.24,21.1,98.01,21.18,4.248,1.585,50.46,8.79,0.7875,0.0436,0.1262,Major Fault,Thermal Breakdown,25344
3081.9,83.89,2534.63,29.37,150.29,31.79,5.009,2.648,58.75,14.44,0.7553,0.0549,0.1684,Major Fault,Thermal Breakdown,6913
2610.2,34.76,1016.83,18.57,71.12,22.97,4.738,1.346,95.63,12.99,0.7312,0.0597,0.1764,Minor Fault,General Degredation,25437
3252.9,38.67,1150.03,17.16,81.17,20.59,3.909,1.098,54.67,10.89,0.7434,0.0524,0.1513,Minor Fault,General Degredation,25463
3069.9,34.94,1153.29,14.12,57.86,21.32,3.456,1.312,59.73,10.38,0.8253,0.0354,0.131,No Fault,Healthy,110019
1403.7,78.03,2640.0,24.97,50.65,17.96,4.739,2.037,40.86,16.0,0.8459,0.0323,0.1033,No Fault,Healthy,172180
3309.9,67.72,2193.05,22.61,102.54,22.02,3.973,2.705,30.64,8.63,0.8096,0.038,0.1282,Major Fault,Thermal Breakdown,30335
2356.2,39.44,1312.58,15.23,42.88,14.19,3.914,1.176,29.84,7.34,0.832,0.0343,0.1269,No Fault,Healthy,213132
3080.1,58.15,1651.92,23.93,121.26,25.5,5.533,1.952,74.53,15.12,0.7101,0.0609,0.1918,Major Fault,Thermal Breakdown,8745
3319.4,59.58,1839.25,22.42,106.23,20.77,3.653,1.548,42.08,16.68,0.7717,0.0496,0.1524,Major Fault,Thermal Breakdown,16490
1758.6,26.86,818.64,13.77,43.24,19.62,4.03,1.08,72.24,13.77,0.7619,0.0462,0.1478,Minor Fault,General Degredation,115478
1197.1,62.82,1933.15,22.87,69.43,37.74,4.611,1.988,50.66,15.99,0.7693,0.048,0.1378,Minor Fault,General Degredation,41551
1515.4,42.34,1280.9,18.94,53.88,24.13,4.429,1.946,61.0,14.59,0.7564,0.0537,0.1661,Minor Fault,General Degredation,55122
2053.2,70.6,2167.91,24.23,91.16,29.44,4.832,1.732,37.13,15.39,0.7677,0.0462,0.1591,Minor Fault,General Degredation,26041
3108.6,42.8,1371.87,16.34,80.86,32.03,4.021,1.6,84.53,9.09,0.8014,0.0381,0.1134,Minor Fault,General Degredation,48456
3224.0,63.29,1942.22,23.29,117.97,31.97,5.31,2.188,44.5,11.98,0.7672,0.0474,0.1287,Major Fault,Thermal Breakdown,15060
918.8,79.42,2484.67,27.33,62.69,31.93,4.958,2.591,49.07,10.55,0.7821,0.0473,0.1481,Minor Fault,General Degredation,52429
2279.0,74.62,2495.18,22.97,73.02,19.92,4.147,2.44,26.01,10.22,0.836,0.0288,0.1119,No Fault,Healthy,104209
2027.0,67.61,1927.78,26.21,102.93,28.63,4.9,2.187,216.46,15.38,0.7129,0.064,0.1742,Major Fault,Thermal Breakdown,10681
1499.7,58.78,1944.72,20.21,49.98,22.57,3.605,1.381,35.54,16.35,0.8271,0.0339,0.1312,No Fault,Healthy,160508
1223.6,37.5,1130.81,18.2,54.05,30.38,5.17,1.199,47.15,14.66,0.7539,0.0554,0.1798,Minor Fault,General Degredation,51559
1811.6,53.41,1699.88,19.13,54.15,20.0,4.754,1.182,34.28,20.2,0.7956,0.0384,0.1315,Minor Fault,General Degredation,106600
3445.9,56.61,1765.24,22.68,102.75,22.83,4.542,2.188,55.42,16.03,0.7796,0.0516,0.1544,Major Fault,Thermal Breakdown,16249
1772.6,55.53,1801.25,19.48,66.93,30.89,4.67,2.285,39.65,10.98,0.8109,0.0405,0.1281,Minor Fault,General Degredation,62725
2300.7,37.0,1283.87,12.48,48.81,28.55,2.731,1.68,68.52,11.27,0.8675,0.0256,0.0951,No Fault,Healthy,295060
2798.2,66.52,2022.38,23.99,108.3,23.04,5.482,1.67,80.25,14.26,0.7601,0.0507,0.1488,Major Fault,Thermal Breakdown,15341
1881.8,42.29,1277.16,18.24,55.5,18.56,5.129,1.377,69.92,14.55,0.7551,0.0547,0.1529,Minor Fault,General Degredation,50001
3523.8,83.19,2667.68,26.23,138.48,28.71,4.555,2.688,43.35,8.32,0.8017,0.0399,0.1177,Major Fault,Thermal Breakdown,15026
3498.6,62.22,1953.69,22.07,111.58,25.25,4.785,2.449,44.36,26.76,0.785,0.0486,0.1555,Major Fault,Thermal Breakdown,15738
1579.8,74.69,2426.67,23.93,67.24,22.09,3.557,1.864,39.69,10.37,0.8123,0.0331,0.1238,Minor Fault,General Degredation,93054
2242.6,74.38,2430.62,25.05,84.4,30.88,4.459,1.895,63.91,13.51,0.817,0.0406,0.1161,Minor Fault,General Degredation,39164
1712.4,91.17,2793.98,30.94,90.09,19.69,5.712,2.489,45.18,11.0,0.7662,0.0511,0.1535,Minor Fault,General Degredation,21555
1669.1,62.73,1975.39,23.14,63.94,19.52,4.462,2.098,40.36,12.25,0.7873,0.0438,0.1525,Minor Fault,General Degredation,58870
999.6,54.15,1680.66,20.21,42.16,22.04,4.846,1.808,39.8,9.9,0.7759,0.0451,0.1553,Minor Fault,General Degredation,127252
2545.8,54.44,1681.65,21.14,75.72,15.1,3.789,2.09,74.35,18.36,0.7723,0.0503,0.1521,Minor Fault,General Degredation,31774
2257.2,82.44,2453.24,29.34,112.25,22.97,5.136,2.437,81.25,15.18,0.7439,0.0569,0.1795,Major Fault,Thermal Breakdown,11402
1039.0,40.2,1231.06,16.98,46.18,25.5,4.21,1.848,52.55,14.75,0.7657,0.0513,0.1266,Minor Fault,General Degredation,82189
1652.3,46.83,1497.52,18.91,54.76,27.23,4.391,1.823,104.77,10.26,0.7995,0.0433,0.1648,Minor Fault,General Degredation,82051
3352.3,63.55,2044.71,21.76,104.55,22.27,4.073,2.238,46.38,16.04,0.8043,0.0399,0.1463,Major Fault,Thermal Breakdown,26548
1546.8,57.71,1861.4,20.94,45.35,11.65,4.153,1.29,35.56,11.57,0.8064,0.0419,0.1422,Minor Fault,General Degredation,127606
1291.2,74.51,2469.81,22.35,56.43,26.11,4.38,1.906,41.01,9.16,0.8286,0.0272,0.1157,No Fault,Healthy,195603
2221.5,39.92,1279.84,15.68,61.55,26.88,4.485,1.27,55.16,35.89,0.8015,0.0427,0.1435,Minor Fault,General Degredation,66788
3561.3,59.0,1956.2,19.32,91.35,22.54,4.113,1.829,48.15,7.22,0.829,0.0286,0.0936,Minor Fault,General Degredation,67715
1553.5,57.19,1860.79,19.93,58.89,27.52,3.924,2.008,53.87,7.87,0.8134,0.0363,0.1303,Minor Fault,General Degredation,100885
2714.8,43.92,1319.61,18.08,85.88,30.52,3.053,1.825,56.75,12.0,0.7512,0.0475,0.1525,Minor Fault,General Degredation,27875
2956.4,73.18,2381.92,23.98,98.84,23.76,4.199,2.333,43.37,9.77,0.8137,0.0361,0.134,Major Fault,Thermal Breakdown,36092
1541.6,58.62,1780.3,22.86,63.01,22.74,4.525,1.576,62.72,11.4,0.7592,0.0541,0.1752,Minor Fault,General Degredation,39687
2866.2,57.99,1840.79,20.05,96.48,31.99,4.451,1.784,38.01,10.3,0.7936,0.0396,0.1221,Minor Fault,Thermal Breakdown,31466
1893.0,47.63,1473.0,19.74,65.52,25.83,5.013,1.614,60.04,13.87,0.7732,0.052,0.1719,Minor Fault,General Degredation,39724
2607.2,54.45,1727.89,19.37,72.95,17.69,4.443,1.839,123.33,21.82,0.7933,0.0372,0.1137,Minor Fault,General Degredation,62751
2610.5,44.68,1423.94,16.2,68.66,24.24,4.035,1.462,45.66,8.38,0.7968,0.0389,0.1287,Minor Fault,General Degredation,64684
2346.6,72.96,2164.95,26.1,111.2,28.34,5.275,1.963,43.7,12.04,0.7419,0.0515,0.1654,Major Fault,Thermal Breakdown,14304
1143.8,75.49,2428.45,24.77,61.26,29.77,5.258,2.197,32.06,9.55,0.8042,0.0382,0.1263,Minor Fault,General Degredation,84074
3155.3,85.2,2630.52,28.42,148.44,32.47,5.569,2.274,45.06,39.08,0.7719,0.0437,0.1379,Major Fault,Thermal Breakdown,11041
1766.1,66.51,2141.47,21.85,72.13,25.79,4.43,1.699,57.92,12.27,0.8049,0.0358,0.12,Minor Fault,General Degredation,69161
1403.6,54.91,1949.08,16.48,37.48,22.62,3.58,2.038,31.46,6.78,0.8874,0.02,0.1065,No Fault,Healthy,820005
1010.1,52.97,1690.6,17.94,46.48,23.29,4.191,1.929,33.99,8.41,0.798,0.034,0.1095,Minor Fault,General Degredation,184463
2495.4,67.36,1985.79,24.69,107.21,25.85,6.062,1.607,44.65,31.45,0.737,0.0546,0.1483,Major Fault,Thermal Breakdown,13567
2729.4,63.01,1936.63,22.36,103.15,27.52,4.561,1.856,46.2,14.12,0.7683,0.0434,0.136,Major Fault,Thermal Breakdown,22892
944.8,57.39,1783.73,21.8,47.04,23.45,4.47,1.366,82.0,20.73,0.7771,0.0489,0.1528,Minor Fault,General Degredation,86913
2282.7,56.07,1736.67,21.06,75.64,20.31,4.725,1.956,42.37,10.14,0.7743,0.0493,0.1613,Minor Fault,General Degredation,33184
1511.5,77.57,2352.21,27.15,76.51,25.24,4.865,1.88,124.29,10.25,0.7581,0.0478,0.14,Minor Fault,General Degredation,34533
2642.0,53.52,1603.28,22.19,82.19,16.93,4.968,2.443,45.46,11.55,0.7489,0.056,0.1567,Minor Fault,General Degredation,21686
1370.8,80.2,2627.0,25.77,57.87,20.97,5.032,2.173,100.42,11.76,0.8189,0.0368,0.1263,Minor Fault,General Degredation,101432
2765.5,62.73,1883.73,24.38,98.77,19.65,4.604,2.403,69.14,13.17,0.7507,0.0549,0.1531,Major Fault,Thermal Breakdown,15662
1944.2,54.48,1648.85,20.74,74.59,25.84,4.454,1.932,37.68,20.05,0.7566,0.0467,0.1458,Minor Fault,General Degredation,38143
3429.2,48.22,1491.19,18.79,94.64,26.78,3.698,1.879,59.81,17.43,0.7731,0.0445,0.1353,Minor Fault,General Degredation,25915
1271.3,57.68,2004.2,17.02,45.72,26.33,3.221,1.637,103.92,4.98,0.8686,0.02,0.0933,No Fault,Healthy,551013
1820.9,67.55,2097.59,23.84,72.94,22.17,4.979,1.923,82.6,16.07,0.7763,0.044,0.1423,Minor Fault,General Degredation,44707
1206.4,54.34,1633.43,20.71,49.77,16.88,5.068,1.4,44.41,20.36,0.7514,0.0492,0.1677,Minor Fault,General Degredation,76793
3396.7,72.76,2331.8,25.1,111.6,17.92,5.228,1.954,39.8,12.63,0.8012,0.0423,0.1393,Major Fault,Thermal Breakdown,20658
3268.8,53.6,1622.07,22.16,105.29,24.84,5.651,1.694,44.96,10.6,0.7566,0.0525,0.1596,Major Fault,Thermal Breakdown,14922
1596.4,58.13,1780.34,22.52,59.84,19.44,4.845,1.361,48.87,11.58,0.7657,0.053,0.171,Minor Fault,General Degredation,45799
2682.0,40.7,1342.8,15.6,56.95,22.66,2.719,1.681,46.04,11.2,0.8248,0.0372,0.1184,No Fault,Healthy,102573
3106.5,68.39,2156.82,23.66,103.12,19.78,4.298,2.483,49.09,8.91,0.7884,0.0411,0.1326,Major Fault,Thermal Breakdown,25738
2399.0,55.99,1762.23,19.95,77.75,25.12,3.979,1.866,45.0,15.96,0.7868,0.0373,0.1301,Minor Fault,General Degredation,54753
2330.1,83.68,2740.43,26.3,86.83,20.14,4.743,2.633,30.05,8.45,0.8187,0.0358,0.1254,Minor Fault,General Degredation,47610
